id,x0,x1
82,9.16102261,8.89237313
83,9.05374187,8.78753592
84,8.94924220,8.67992634
85,8.84564770,8.57144510
86,8.74262262,8.46242293
87,8.64005512,8.35297017
88,8.53691593,8.24405595
89,8.43326464,8.13562897
90,8.32899058,8.02780077
91,8.22415337,7.92052002
92,8.11881177,7.81373450
93,8.01307949,7.70733579
94,7.90701348,7.60126977
95,7.80061477,7.49553749
96,7.69393962,7.39008413
97,7.58704384,7.28485441
98,7.47796774,7.18188644
99,7.36591978,7.08216054
100,7.24999313,6.98697119
101,7.12966423,6.89741140
102,7.00494379,6.81407587
103,6.87615346,6.73717951
104,6.74384676,6.66650463
105,6.60900471,6.60079602
106,6.47304748,6.53742701
107,6.33617585,6.47605798
108,6.19860640,6.41626963
109,6.06151077,6.35540266
110,5.92545417,6.29224729
111,5.79044055,6.22689192
112,5.65802300,6.15642496
113,5.52804073,6.08156104
114,5.40139154,6.00118702
115,5.27786165,5.91609668
116,5.15743903,5.82666295
117,5.03983624,5.73355234
118,4.92476147,5.63733490
119,4.81198549,5.53843303
120,4.70125251,5.43724901
121,4.59233828,5.33410982
122,4.48500266,5.22932879
123,4.37904777,5.12315176
124,4.27432296,5.01576129
125,4.17067167,4.90733431
126,4.06798961,4.79798901
127,3.96616950,4.68784064
128,3.86510149,4.57700175
129,3.76426585,4.46595143
130,3.66401305,4.35437466
131,3.56422850,4.24237893
132,3.46491394,4.12996621
133,3.36601207,4.01719024
134,3.26752421,3.90405253
135,3.16939226,3.79060598
136,3.07155766,3.67690290
137,2.97396140,3.56299517
138,2.87660393,3.44888328
139,2.78074848,3.33350680
140,2.68665593,3.21668817
141,2.59434797,3.09845433
142,2.50378327,2.97887994
143,2.41498130,2.85799070
144,2.32789717,2.73585817
145,2.24241916,2.61259621
146,2.15836668,2.48835781
147,2.07548883,2.36333276
148,1.99346391,2.23774649
149,1.91189983,2.11186042
150,1.82967774,1.98640315
151,1.74621165,1.86177004
152,1.66138021,1.73806221
153,1.57436004,1.61588410
154,1.48511558,1.49532115
155,1.39367680,1.37641383
156,1.29976786,1.25944755
157,1.20355042,1.14437278
158,1.10506255,1.03123507
159,1.01250794,0.92887471
160,0.92644757,0.83684421
161,0.84732811,0.75477040
162,0.77554390,0.68230643
163,0.70926851,0.61706401
164,0.64876255,0.55879713
165,0.59204298,0.50525378
166,0.54144836,0.45833700
167,0.49489603,0.41588844
168,0.45249686,0.37779237
169,0.41208449,0.34197561
170,0.37597961,0.31034591
171,0.38983781,0.31608616
172,0.41743861,0.32784182
173,0.45870005,0.34579994
174,0.51351278,0.37020413
175,0.58140821,0.40206650
176,0.66181163,0.44250521
177,0.75400862,0.49275176
178,0.85729766,0.55383673
179,0.97135762,0.62605395
180,1.09585946,0.70971571
181,1.23060532,0.80494467
182,1.37786297,0.91359173
183,1.53745504,1.03578572
184,1.70922626,1.17163728
185,1.89072561,1.32404131
186,2.08156179,1.49317603
187,2.27909634,1.68161461
188,2.48006967,1.89206822
189,2.67507564,2.11608088
190,2.86427072,2.34502241
