id,x0,x1
82,9.03049719,8.76000887
83,8.92577238,8.65261840
84,8.82178097,8.54451758
85,8.71841390,8.43581961
86,8.61481940,8.32733837
87,8.51077140,8.21929202
88,8.40632810,8.11162774
89,8.30137860,8.00445684
90,8.19598110,7.89772649
91,8.09019313,7.79138316
92,7.98407159,7.68537269
93,7.87767288,7.57964041
94,7.77099773,7.47418705
95,7.66410195,7.36895733
96,7.55704101,7.26389566
97,7.45125304,7.15755233
98,7.34658447,7.05010703
99,7.24390240,6.94076174
100,7.14376650,6.82908005
101,7.04688787,6.71456135
102,6.95383885,6.59690983
103,6.86503688,6.47602059
104,6.78059450,6.35204686
105,6.70035315,6.22531357
106,6.62386178,6.09628230
107,6.54927025,5.96614351
108,6.47515621,5.83573221
109,6.40145223,5.70508871
110,6.32713343,5.57479398
111,6.25023707,5.44600365
112,6.17106024,5.31860259
113,6.08831336,5.19349082
114,5.99806202,5.07367974
115,5.89833612,4.96163178
116,5.78888336,4.85906428
117,5.67055291,4.76688019
118,5.54496664,4.68485527
119,5.41420753,4.61135660
120,5.27898926,4.54642571
121,5.14055808,4.48866059
122,5.00120757,4.43314993
123,4.86108624,4.37961477
124,4.72049394,4.32732896
125,4.58152450,4.27087107
126,4.44408057,4.21079472
127,4.30913547,4.14529801
128,4.17708870,4.07413868
129,4.04781776,3.99805304
130,3.92146400,3.91721537
131,3.79780061,3.83231917
132,3.67663298,3.74389742
133,3.55772567,3.65245864
134,3.44085779,3.55842726
135,3.32578302,3.46220982
136,3.21233646,3.36407787
137,3.10034073,3.26429332
138,2.98960775,3.16310930
139,2.88004764,3.06065647
140,2.77151217,2.95711879
141,2.66390260,2.85261912
142,2.55856100,2.74583360
143,2.45610817,2.63627349
144,2.35638227,2.52422553
145,2.25914435,2.41001175
146,2.16407646,2.29398548
147,2.07084275,2.17648027
148,1.97903086,2.05786080
149,1.88771665,1.93885780
150,1.79602902,1.82014226
151,1.70378299,1.70186010
152,1.61048777,1.58440372
153,1.51560225,1.46822826
154,1.41914400,1.35335526
155,1.32077467,1.24011447
156,1.22058030,1.12848523
157,1.11858729,1.01849693
158,1.02322811,0.91874410
159,0.93488218,0.82890538
160,0.85393505,0.74863357
161,0.78072335,0.67761212
162,0.71333061,0.61352454
163,0.65194691,0.55618309
164,0.59450370,0.50341683
165,0.54334776,0.45711273
166,0.49635347,0.41515399
167,0.45361688,0.37743683
168,0.41294305,0.34191726
169,0.37664015,0.31051504
170,0.39049834,0.31625529
171,0.41809915,0.32801096
172,0.45936058,0.34596907
173,0.51417331,0.37037327
174,0.58206874,0.40223563
175,0.66247217,0.44267434
176,0.75466915,0.49292090
177,0.85795820,0.55400587
178,0.97201815,0.62622308
179,1.09652000,0.70988485
180,1.23126585,0.80511380
181,1.37852350,0.91376087
182,1.53811557,1.03595486
183,1.70988680,1.17180642
184,1.89273551,1.32258887
185,2.08330578,1.49202314
186,2.27583989,1.68556801
187,2.46713609,1.90485495
188,2.65246884,2.13693419
189,2.82741827,2.37693772
190,2.99704787,2.62073025
191,3.16295623,2.86707030
192,3.33588890,3.10853105
193,3.51853605,3.34272972
194,3.70952337,3.57017827
195,3.90998250,3.78932465
196,4.11767138,4.00163181
197,4.33481271,4.20426113
198,4.55769851,4.40055408
199,4.78644178,4.58998880
200,5.01958460,4.77398180
201,5.25214825,4.95870634
202,5.48413041,5.14416058
203,5.71474690,5.33131034
204,5.94408418,5.52002550
205,6.17233073,5.71005842
206,6.39957915,5.90128383
207,6.62592392,6.09357799
208,6.85075146,6.28764391
209,7.07229598,6.48544943
210,7.28922500,6.68830603
211,7.50131455,6.89621713
212,7.70933666,7.10819779
213,7.91501540,7.32245291
214,8.11945670,7.53788910
215,8.32558372,7.75171298
216,8.53404935,7.96325750
217,8.74174757,8.16707714
218,8.93987314,8.35489423
219,9.12748750,8.52759586
220,9.30411016,8.68562572
221,9.46921590,8.82950447
222,9.62233057,8.95972313
223,9.76302862,9.07674047
224,9.89093086,9.18098066
225,10.00575031,9.27277114
226,10.10718152,9.35247503
227,10.19495992,9.42041583
228,10.26886019,9.47687599
229,10.33350711,9.52567944
230,10.39360114,9.57055379
231,10.44666939,9.60979357
232,10.49506226,9.64526370
233,10.54117623,9.67876746
234,10.58254569,9.70859308
235,10.61911693,9.73481416
236,10.60248710,9.72792585
237,10.56954601,9.71340397
238,10.52037689,9.69107917
239,10.45480247,9.66134709
240,10.37252598,9.62486999
241,10.27331887,9.58218570
242,10.15752515,9.53250860
243,10.02582172,9.47428312
244,9.89067152,9.40921067
245,9.75873669,9.33784401
246,9.63055426,9.25993852
247,9.50653634,9.17556106
248,9.38691454,9.08505898
249,9.27209206,8.98854060
250,9.16125318,8.88747260
251,9.05353423,8.78308568
252,8.94864086,8.67585984
253,8.84464945,8.56775903
254,8.74128238,8.45906106
255,8.63842868,8.34987719
256,8.53500471,8.24123336
257,8.43112656,8.13302370
258,8.32662690,8.02541413
259,8.22162129,7.91829819
260,8.11616793,7.81162304
261,8.01032429,7.70533511
262,7.90414726,7.59938022
263,7.79769320,7.49370367
264,7.69096285,7.38830618
265,7.58401199,7.28313245
266,7.47833544,7.17667839
267,7.37372314,7.06917831
268,7.27041300,6.96042623
269,7.16951922,6.84942872
270,7.07174416,6.73567444
271,6.97771279,6.61880656
272,6.88783829,6.49871254
273,6.80229576,6.37549535
274,6.72099552,6.24943873
275,6.64356036,6.12097163
276,6.56849235,5.99110711
277,6.49390083,5.86096832
278,6.41978679,5.73055701
279,6.34567274,5.60014571
280,6.26897878,5.47123474
281,6.19000217,5.34370947
282,6.10824046,5.21795168
283,6.01981871,5.09678405
284,5.92210322,4.98297859
285,5.81460314,4.87836629
286,5.69798184,4.78402928
287,5.57347999,4.70036752
288,5.44373355,4.62509561
289,5.30934188,4.55847069
290,5.17133786,4.49969237
291,5.03198734,4.44418172
292,4.89186601,4.39064656
293,4.75121904,4.33850801
294,4.61183947,4.28307032
295,4.47398981,4.22393091
296,4.33773547,4.16120328
297,4.20447893,4.09233607
298,4.07406762,4.01822203
299,3.94670803,3.93897850
300,3.82216240,3.85538194
301,3.70021253,3.76804221
302,3.58059073,3.67754013
303,3.46308552,3.58430642
304,3.34745848,3.48875335
305,3.23355075,3.39115710
306,3.12119005,3.29178370
307,3.01019254,3.19088993
308,2.90041809,3.08866679
309,2.79172012,2.98529972
310,2.68394654,2.88096921
311,2.57760320,2.77518124
312,2.47429306,2.66642916
313,2.37380679,2.55506261
314,2.27591266,2.44141077
315,2.18035959,2.32578374
316,2.08681858,2.20852301
317,1.99488252,2.08999976
318,1.90375535,1.97085347
319,1.81237884,1.85189829
320,1.72050485,1.73332692
321,1.62788768,1.61533514
322,1.53367285,1.49861511
323,1.43787782,1.38318846
324,1.34016233,1.26938299
325,1.24061256,1.15717852
326,1.13925473,1.04660461
327,1.04241116,0.94412377
328,0.95249300,0.85162661
329,0.86989157,0.76876526
330,0.79491041,0.69526134
331,0.72565623,0.62877933
332,0.66232959,0.56912418
333,0.60510791,0.51611777
334,0.55193065,0.46757728
335,0.50288309,0.42341466
336,0.45804303,0.38354777
337,0.41749966,0.34787937
338,0.38131210,0.31634430
339,0.39517029,0.32208455
340,0.42277724,0.33382576
341,0.46404808,0.35176227
342,0.51886081,0.37616647
343,0.58673955,0.40806438
344,0.66710058,0.44858726
345,0.75919213,0.49902680
346,0.86235301,0.56032797
347,0.97626146,0.63278391
348,1.10058781,0.71670625
349,1.23513393,0.81221721
350,1.38216370,0.92117245
351,1.54156363,1.04361697
352,1.71319250,1.17964834
353,1.89588321,1.33062219
354,2.08618710,1.50035559
355,2.27841696,1.69420265
356,2.46948341,1.91368981
357,2.65457303,2.14596300
358,2.82939677,2.38605810
359,2.99940911,2.62958388
360,3.16570421,2.87566301
361,3.33926843,3.11667019
362,3.52252809,3.35038990
363,3.71399136,3.57743794
364,3.91490903,3.79616401
365,4.12304210,4.00803572
366,4.34060734,4.21020982
367,4.56380120,4.40615241
368,4.79284176,4.59522759
369,5.02608089,4.77909849
370,5.25874122,4.96370123
371,5.49082045,5.14903398
372,5.72153491,5.33606296
373,5.95097096,5.52465803
374,6.17931699,5.71457141
375,6.40666550,5.90567780
376,6.63311093,6.09785342
377,6.85793846,6.29191934
378,7.07937938,6.48984084
379,7.29609585,6.69292450
380,7.50796756,6.90105757
381,7.71598967,7.11303823
382,7.92166841,7.32729336
383,8.12622249,7.54262247
384,8.33246144,7.75633840
385,8.54103780,7.96777373
386,8.74884271,8.17148460
387,8.94696829,8.35930168
388,9.13458264,8.53200332
389,9.31120530,8.69003317
390,9.47623568,8.83399835
391,9.62928215,8.96429717
392,9.76991891,9.08138816
393,9.89776655,9.18569531
394,10.01253793,9.27754590
395,10.11392739,9.35730288
396,10.20167020,9.42528963
397,10.27557048,9.48174979
398,10.34021739,9.53055325
399,10.39790766,9.57363262
400,10.45097592,9.61287240
401,10.49936878,9.64834253
402,10.54303908,9.68010581
403,10.58439292,9.70995308
404,10.62096415,9.73617416
405,10.60433432,9.72928585
406,10.57139324,9.71476397
407,10.52222411,9.69243917
408,10.45666527,9.66267276
409,10.37440789,9.62615258
410,10.27522314,9.58341636
411,10.15945545,9.53367863
412,10.02778252,9.47538420
413,9.89263232,9.41031175
414,9.76069749,9.33894509
415,9.63251507,9.26103960
416,9.50845298,9.17672709
417,9.38873648,9.08635033
418,9.27381299,8.98995224
419,9.16292120,8.88894229
420,9.05520225,8.78455537
421,8.95030888,8.67732953
422,8.84637409,8.56917428
423,8.74306394,8.46042220
424,8.64026743,8.35118450
425,8.53690036,8.24248653
426,8.43302221,8.13427687
427,8.32852254,8.02666730
428,8.22351694,7.91955136
429,8.11806358,7.81287621
430,8.01221994,7.70658828
431,7.90604290,7.60063339
432,7.79958885,7.49495684
433,7.69285850,7.38955934
434,7.58590764,7.28438562
435,7.48023108,7.17793156
436,7.37561879,7.07043148
437,7.27225171,6.96173351
438,7.17129984,6.85078884
439,7.07346523,6.73708577
440,6.97931153,6.62031642
441,6.88931131,6.50031658
442,6.80363980,6.37718904
443,6.72220760,6.25121763
444,6.64463795,6.12283169
445,6.56943399,5.99304585
446,6.49477433,5.86294613
447,6.42059202,5.73257365
448,6.34647797,5.60216235
449,6.26978401,5.47325138
450,6.19080740,5.34572611
451,6.10911155,5.21992553
452,6.02081673,5.09866537
453,5.92322047,4.98475764
454,5.81583000,4.88003283
455,5.69930755,4.78557375
456,5.57489339,4.70178165
457,5.44522584,4.62637391
458,5.31090401,4.55960830
459,5.17293079,4.50075773
460,5.03358027,4.44524707
461,4.89348699,4.39163855
462,4.75286733,4.33942637
463,4.61348777,4.28398868
464,4.47563811,4.22484927
465,4.33938377,4.16212164
466,4.20612722,4.09325443
467,4.07571592,4.01914039
468,3.94835633,3.93989686
469,3.82381070,3.85630030
470,3.70186083,3.76896057
471,3.58223903,3.67845849
472,3.46473381,3.58522478
473,3.34910678,3.48967171
474,3.23519905,3.39207546
475,3.12278633,3.29276091
476,3.01173601,3.19192527
477,2.90190805,3.08975962
478,2.79315597,2.98644947
479,2.68532778,2.88217541
480,2.57887372,2.77649886
481,2.47544975,2.66785503
482,2.37490518,2.55654110
483,2.27701105,2.44288927
484,2.18145798,2.32726223
485,2.08791697,2.21000150
486,1.99598091,2.09147825
487,1.90491614,1.97228426
488,1.81353963,1.85332909
489,1.72166564,1.73475772
490,1.62911026,1.61671747
491,1.53495655,1.49994812
492,1.43922198,1.38447132
493,1.34150649,1.27066586
494,1.24195672,1.15846139
495,1.14059889,1.04788747
496,1.04375532,0.94540664
497,0.95383716,0.85290947
498,0.87123572,0.77004813
499,0.79625457,0.69654421
500,0.72700039,0.63006219
501,0.66367374,0.57040705
502,0.60645207,0.51740064
503,0.55327481,0.46886014
504,0.50422725,0.42469752
505,0.45940807,0.38480716
506,0.41888338,0.34911754
507,0.38269582,0.31758247
508,0.39655401,0.32332272
509,0.42416096,0.33506393
510,0.46543180,0.35300044
511,0.52023174,0.37743333
512,0.58809377,0.40936678
513,0.66843357,0.44993174
514,0.76049870,0.50041949
515,0.86362747,0.56177466
516,0.97749797,0.63429023
517,1.10182432,0.71821257
518,1.23637043,0.81372353
519,1.38340021,0.92267877
520,1.54280014,1.04512330
521,1.71442901,1.18115466
522,1.89711972,1.33212851
523,2.08742361,1.50186192
524,2.27955194,1.69580960
525,2.47050345,1.91539677
526,2.65547142,2.14776684
527,2.83016942,2.38795345
528,3.00005423,2.63156821
529,3.16622046,2.87773438
530,3.33965847,3.11883241
531,3.52279572,3.35264803
532,3.71425899,3.57969608
533,3.91517666,3.79842214
534,4.12342064,4.01018485
535,4.34109171,4.21224500
536,4.56449064,4.40795376
537,4.79372907,4.59678899
538,5.02716062,4.78041554
539,5.26001414,4.96477454
540,5.49228733,5.14986415
541,5.72309968,5.33677231
542,5.95263445,5.52524721
543,6.18107988,5.71504101
544,6.40852843,5.90602833
545,6.63507444,6.09808536
546,6.85990198,6.29215128
547,7.08134289,6.49007278
548,7.29805936,6.69315643
549,7.50993108,6.90128951
550,7.71795319,7.11327017
551,7.92363192,7.32752530
552,8.12807323,7.54296148
553,8.33420025,7.75678537
554,8.54266588,7.96832988
555,8.75036410,8.17214953
556,8.94839130,8.36007033
557,9.13591521,8.53287017
558,9.31245510,8.69099248
559,9.47748548,8.83495766
560,9.63053194,8.96525648
561,9.77116871,9.08234747
562,9.89901635,9.18665462
563,10.01378773,9.27850521
564,10.11517719,9.35826219
565,10.20292000,9.42624894
566,10.27682028,9.48270911
567,10.34146719,9.53151256
568,10.39915746,9.57459193
569,10.45222572,9.61383171
570,10.50061858,9.64930184
571,10.54428888,9.68106512
572,10.58564271,9.71091239
573,10.62221395,9.73713347
574,10.60558412,9.73024516
575,10.57265064,9.71570604
576,10.52349321,9.69335549
577,10.45794997,9.66355476
578,10.37571172,9.62699152
579,10.27654936,9.58420337
580,10.16078167,9.53446564
581,10.02910874,9.47617121
